video_id,id,title,kind,description,etag,published_at,views,likes,dislikes,favorites,comments,iframe,link
rD6TfqD0Y4A,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnJENlRmcUQwWTRB,Taller Tidy Data,youtube#playlistItem,En este taller aprenderemos sobre que es tidy data y como manipular diferentes formas de data para llevarlas a tidy.,kxEtWO_QPYpSsAKF3H2qK5x3FDw,2020-07-02T12:31:52Z,259.0,11.0,0.0,0.0,1.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rD6TfqD0Y4A"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/rD6TfqD0Y4A
Qs1m94AmqZM,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LlFzMW05NEFtcVpN,Manipulacion de datos con dplyr parte3,youtube#playlistItem,Seguimos con nuestro webminar sobre manipulacion de datos. En la parte 3 aprenderemos sobre joins.,wkfBd5RANCtomXnOELtBpMsitAA,2020-06-25T12:52:59Z,342.0,18.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Qs1m94AmqZM"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Qs1m94AmqZM
0Ve54pZest8,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LjBWZTU0cFplc3Q4,Manipulacion de Datos con DPLYR Part 2,youtube#playlistItem,Parte 2 del taller de manipulacion de datos en dplyr. Aprenderemos a trabajar con filtros agrupados y mutates.,5vQD2398GH5ciWniSI1yGGYFQC8,2020-06-18T11:51:43Z,323.0,18.0,1.0,0.0,2.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0Ve54pZest8"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/0Ve54pZest8
QYYxoosP9u4,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LlFZWXhvb3NQOXU0,Manipulacion de datos con Dplyr en R sesion 1,youtube#playlistItem,Taller sobre manipulacion de datos utilizando la libreria dplyr. La duracion del taller sera de una hora y esta es la primera parte de una serie de 2 a 4 streams.,ARATUGLMoatT9YO86VsuKj9a6BM,2020-06-11T13:12:41Z,658.0,33.0,0.0,0.0,5.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QYYxoosP9u4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/QYYxoosP9u4
0ttBrNZ4akg,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LjB0dEJyTlo0YWtn,Taller Manipulacion de Datos,youtube#playlistItem,Estamos probando la herramienta que usaremos para llevar acabo el taller. Tambien hablaremos de los requisito necesarios para tomar el taller,uJI6ZF_QOZInpNeXmp7v-z_UxXg,2020-06-05T20:41:22Z,353.0,30.0,0.0,0.0,2.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0ttBrNZ4akg"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/0ttBrNZ4akg
EwLZW7HTlb4,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LkV3TFpXN0hUbGI0,Probabilidad Condicional - Problema  73 y 74,youtube#playlistItem,"# Problema 73
Gregor Mendel fue un monje que, en 1865, sugirió una teoría de la herencia basada en la ciencia de la genética. Él identifi có individuos heterocigotos para color de fl or que tenían dos alelos (un r = alelo color blanco recesivo y un R = alelo color rojo dominante). Cuando estos individuos se apareaban, se observaba que 3/4 de la descendencia tenían fl ores rojas y 1/4 tenían fl ores blancas. La tabla siguienteresume este apareamiento; cada padre da uno de sus alelos para formar el gen de la descendencia.
Suponemos que es igualmente probable que cada padre contribuye con cualquiera de los dos alelos y que, si uno o dos de los alelos en un par es dominante (R), la descendencia tendrá fl ores rojas. ¿Cuál es la probabilidad de que un descendiente tenga 
a) al menos un alelo dominante?, 
b) al menos un alelo recesivo?,
c) un alelo recesivo, dado que la descendencia tiene fl ores rojas?

# Problema 74
Cien adultos fueron entrevistados en una encuesta por teléfono. De interés fue la opinión de ellos con respecto a las cargas que implican los préstamos para estudiantes universitarios y si quienes respondieron tenían un hijo actualmente en la universidad. Sus respuestas se resumen en la tabla siguiente:
De los siguientes eventos, ¿cuáles son independientes? 
a) A y D
 b) B y D
c) C y D

# Contenido
0:00 Dale me gusta!
0:37 Enunciado del problema 73
1:57 Inciso a) problema 73
2:42 Inciso b) problema 73
3:15 Inciso c) problema 74
5:53 Problema 74
6:46 Inciso a) problema 74
8:33 Inciso b) problema 74
10:53 Inciso c) problema 74
12:07 Recuerda suscribirte.

# Clase de probabilidad condicional
https://youtu.be/m8-MPxS06qc

# Videos de teoria de probabilidades
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",9ZjqKyYgfhoE6zfascsSQe6p1XA,2020-06-05T14:37:30Z,474.0,14.0,0.0,0.0,3.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EwLZW7HTlb4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/EwLZW7HTlb4
s6oIxMjCmlQ,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnM2b0l4TWpDbWxR,Probabilidad Condicional - Problema 72,youtube#playlistItem,"Para cierta población de empleados, el porcentaje que aprueba o reprueba un examen de competencia en un trabajo, indicado de acuerdo con el género, fueron como se ve en la tabla siguiente. Esto es, de todas las personas que tomaron el examen, 24% estaban en la categoría de hombre-aprobado, 16% estuvieron en la categoría de mujer-reprobada y así sucesivamente. Un empleado va a ser seleccionado al azar de esta población. Sea A el evento de que el empleado obtenga una califi cación de aprobado en el examen y sea M el evento de que se seleccione un hombre.

# Video sobre probabilidad condicional
https://youtu.be/m8-MPxS06qc
# Clases de Estadistica 
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

# Contenido
0:00 Recuerda Suscribirte
0:30 Dale like
1:08 Enunciado del problema
2:23 Probabilidades de la tabla
4:42 Inciso a)
7:24 Inciso b)
9:54 Recomendaciones Finales

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",44y4xFJRI7Wl8UYAl2Zb_xgztP8,2020-06-03T15:15:10Z,448.0,13.0,0.0,0.0,0.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s6oIxMjCmlQ"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/s6oIxMjCmlQ
VXKgEvZecX8,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LlZYS2dFdlplY1g4,Probabilidad Condicional - Problema 71,youtube#playlistItem,"# enunciado
Si dos eventos, A y B, son tales que P(A) = .5, P(B) = .3, y P(A ∩ B) = .1, encuentre lo siguiente: 
a. P(A| B) 
b. P(B| A)
c. P(A| A ∪B)
d. P(A | A ∩B) 
e. P(A ∩B | A ∪B)

# Video sobre probabilidad condicional
https://youtu.be/m8-MPxS06qc

# Lista de reproduccion de teoria de probabilidad
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

# Contenido
0:00 Recuerda dejar un like
1:00 Enunciado del problema
1:35 Inciso a)
2:54 Inciso b)
3:48 Inciso c)
8:17 Inciso d)
10:48 Inciso e)
13:24 Despedida 

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",8_Der5ZsWhCGE-fiGjUT5Zkv_X0,2020-06-01T14:59:44Z,485.0,32.0,0.0,0.0,2.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VXKgEvZecX8"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/VXKgEvZecX8
4iTLel_-46w,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LjRpVExlbF8tNDZ3,Probabilidad - Problema 70,youtube#playlistItem,"Demostracion de la expansion multinomial.
===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",HuFzSxxW00VhsBOr0N3PE9fYqTk,2020-05-22T15:00:04Z,228.0,8.0,0.0,0.0,3.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4iTLel_-46w"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/4iTLel_-46w
v1k5tyg-u40,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnYxazV0eWctdTQw,Probabilidad - Problema 69,youtube#playlistItem,"Demostrar que (n+1)Ck = nCk +nC(k-1)

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com",0NRJlNotgKf5zU9EkjTliYb8zRI,2020-05-20T15:52:26Z,152.0,12.0,0.0,0.0,3.0,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/v1k5tyg-u40"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/v1k5tyg-u40
